ID_REF	VALUE
201006_at	6.60189
201007_at	8.9974
201008_s_at	7.06839
201009_s_at	8.07097
201010_s_at	8.79155
201011_at	7.16942
201012_at	6.50656
201013_s_at	8.797
201014_s_at	6.22101
201015_s_at	7.31425
201016_at	6.94003
201017_at	7.36699
201018_at	8.65852
201019_s_at	7.61737
201020_at	7.08964
201021_s_at	8.64952
201022_s_at	10.4645
201023_at	7.35504
201024_x_at	8.95609
201025_at	6.7346
201026_at	6.46602
201027_s_at	6.90245
201028_s_at	7.13352
201029_s_at	9.07417
201030_x_at	11.0772
201031_s_at	11.0488
201032_at	11.0166
201033_x_at	9.50322
201034_at	10.7192
201035_s_at	7.36389
201036_s_at	6.61121
201037_at	9.06007
201038_s_at	7.39845
201039_s_at	7.34984
201040_at	9.89692
201041_s_at	7.92618
201042_at	7.16633
201043_s_at	6.41355
201044_x_at	6.57964
201045_s_at	6.37213
201046_s_at	9.08818
201047_x_at	10.5363
201048_x_at	6.50968
201049_s_at	11.2198
201050_at	7.81628
201051_at	9.1787
201052_s_at	7.02849
201053_s_at	6.72752
201054_at	9.53776
201055_s_at	7.00152
201056_at	6.95599
201057_s_at	7.24101
201058_s_at	6.5256
201059_at	10.923
201060_x_at	7.85598
201061_s_at	8.67663
201062_at	5.99576
201063_at	6.49094
201064_s_at	7.84966
201065_s_at	8.41774
201066_at	6.95342
201067_at	8.75883
201068_s_at	6.89007
201069_at	7.10366
201070_x_at	9.13681
201071_x_at	8.65254
201072_s_at	7.82746
201073_s_at	7.83926
201074_at	7.02872
201075_s_at	6.90487
201076_at	9.47319
201077_s_at	7.43156
201078_at	7.74185
201079_at	6.27977
201080_at	9.16889
201081_s_at	7.6093
201082_s_at	6.36054
201083_s_at	6.85218
201084_s_at	8.26261
201085_s_at	7.16625
201086_x_at	7.79257
201087_at	7.98938
201088_at	7.38851
201089_at	10.5474
201090_x_at	11.8672
201091_s_at	6.35288
201092_at	8.23799
201093_x_at	8.55615
201094_at	11.7876
201095_at	7.22326
201096_s_at	6.66804
201097_s_at	8.13306
201098_at	7.5649
201099_at	8.0105
201100_s_at	7.52613
201101_s_at	7.80755
201102_s_at	9.05424
201103_x_at	10.1908
201104_x_at	8.70589
201105_at	8.03494
201106_at	9.03698
201107_s_at	6.55745
201108_s_at	6.5517
201109_s_at	6.24451
201110_s_at	6.15291
201111_at	7.30281
201112_s_at	6.89206
