ID_REF	VALUE
200846_s_at	7.7223
200847_s_at	9.56994
200848_at	10.9016
200849_s_at	11.996
200850_s_at	11.9387
200851_s_at	9.67685
200852_x_at	9.74065
200853_at	6.96662
200854_at	8.55936
200855_at	7.30255
200856_x_at	7.00099
200857_s_at	6.96718
200858_s_at	10.5766
200859_x_at	9.4507
200860_s_at	9.25727
200861_at	8.81013
200862_at	8.01249
200863_s_at	8.62304
200864_s_at	6.37273
200865_at	6.2014
200866_s_at	8.04181
200867_at	6.93042
200868_s_at	7.0765
200869_at	10.4267
200870_at	8.98792
200871_s_at	12.0824
200872_at	8.8458
200873_s_at	7.03532
200874_s_at	9.48874
200875_s_at	7.05963
200876_s_at	7.32453
200877_at	8.04107
200878_at	8.9305
200879_s_at	7.30431
200880_at	8.62717
200881_s_at	7.8681
200882_s_at	9.02445
200883_at	6.55229
200884_at	11.6578
200885_at	8.6372
200886_s_at	11.7867
200887_s_at	7.40684
200888_s_at	10.954
200889_s_at	6.7928
200890_s_at	6.96165
200891_s_at	6.9223
200892_s_at	6.62512
200893_at	8.76342
200894_s_at	6.97567
200895_s_at	9.55742
200896_x_at	11.0822
200897_s_at	8.69755
200898_s_at	7.47319
200899_s_at	8.62094
200900_s_at	7.41093
200901_s_at	7.84338
200902_at	6.63077
200903_s_at	7.35968
200904_at	7.4036
200905_x_at	9.26793
200906_s_at	6.74012
200907_s_at	7.40863
200908_s_at	8.47745
200909_s_at	10.7622
200910_at	8.07304
200911_s_at	11.0906
200912_s_at	11.9234
200913_at	7.90405
200914_x_at	7.33197
200915_x_at	8.92904
200916_at	7.94336
200917_s_at	6.33468
200918_s_at	8.26901
200919_at	9.10885
200920_s_at	6.97936
200921_s_at	7.22564
200922_at	7.68417
200923_at	7.12815
200924_s_at	9.66732
200925_at	12.4049
200926_at	13.6072
200927_s_at	6.80577
200928_s_at	6.32303
200929_at	7.53007
200930_s_at	6.46382
200931_s_at	7.79707
200932_s_at	10.3689
200933_x_at	13.1359
200934_at	6.7169
200935_at	6.8614
200936_at	11.3115
200937_s_at	10.5958
200938_s_at	6.65133
200939_s_at	6.25871
200940_s_at	9.98975
200941_at	9.3869
200942_s_at	9.30911
200943_at	6.6469
200944_s_at	7.49483
200945_s_at	6.7817
200946_x_at	9.40305
200947_s_at	9.18221
200948_at	9.7277
